Nombre,Latitud,Longitud
Estadio Municipal Carlos A. Moscoso Avenida Tomas Marsano 1199,-12.1141020426388,-77.0100464597621
Parque Héroes de la Paz Cuadra 40 Avenida Aviacion,-12.1162322150785,-77.0016631039415
Parque Guardia Civil Cuadra 39 Avenida Aviacion,-12.1114256209815,-76.9971253316521
Parque la Enramada,-12.1050751567858,-77.0255542039415
Parque Bolivar Jr Inca,-12.1169283768763,-77.0206735597621
Complejo Deportivo Morococha Cuadra 43 Avenida Republica de Panama,-12.107542866557,-77.0199895732545
Parque Nuestra Senora de la Misericordia,-12.1221265377748,-77.0037672574124
Mercado Piloto de San Felipe ,-12.1138883432959,-77.0163498174396
